Player Name,Mat,Inn,NO,Runs,HS,Ave,Balls,SR,100,50,0,4s,6s
Krishmar Santokie,3,1,1,21,21,0,2.4,131.25,0,0,0,3,0
Abdullah Al Mamun,1,1,0,20,20,20,3.5,86.96,0,0,0,1,1
Abu Hider,12,2,2,19,18,0,1.1,271.43,0,0,0,0,2
Mohammad Shahid,10,7,1,19,6,3.17,5.2,59.38,0,0,1,1,0
Nazmul Islam,5,3,0,18,16,6,3.4,81.82,0,0,1,0,1
Lahiru Thirimanne,2,2,0,18,13,9,2.1,138.46,0,0,0,2,0
Fidel Edwards,2,2,1,16,11,16,1.3,177.78,0,0,0,2,0
Abdur Razzak,5,3,1,16,10,8,3.3,76.19,0,0,0,2,0
Sachithra Senanayake,3,2,0,16,9,8,3.3,76.19,0,0,0,1,0
Saqlain Sajib,8,6,4,14,11,7,2.4,87.5,0,0,0,2,0
Hammad Azam,1,1,0,13,13,13,1.0,216.67,0,0,0,1,1
Ariful Haque,2,1,0,13,13,13,2.1,100,0,0,0,1,0
Brendan Taylor,4,4,0,13,9,3.25,3.1,68.42,0,0,1,2,0
Andre Russell,3,3,1,13,9,6.5,2.3,86.67,0,0,0,0,1
Darren Stevens,3,2,0,13,8,6.5,3.4,59.09,0,0,0,2,0
Arafat Sunny,11,6,3,13,7,4.33,3.0,72.22,0,0,0,1,0
Wahab Riaz,1,1,0,12,12,12,1.4,120,0,0,0,2,0
Kamran Akmal,2,2,0,12,12,6,1.2,150,0,0,1,1,1
Owais Shah,1,1,0,11,11,11,4.5,37.93,0,0,0,0,0
Elias Sunny,2,1,0,10,10,10,2.0,83.33,0,0,0,1,0
Nikhil Dutta,1,1,1,9,9,0,1.1,128.57,0,0,0,1,0
Mukhtar Ali,5,2,1,9,9,9,1.5,81.82,0,0,1,1,0
Sohail Khan,1,1,1,8,8,0,0.5,160,0,0,0,1,0
Mosharraf Hossain,10,3,2,8,3,8,2.4,50,0,0,0,0,0
Nasum Ahmed,3,2,0,7,7,3.5,3.0,38.89,0,0,1,1,0
Elton Chigumbura,2,2,0,6,5,3,2.2,42.86,0,0,0,0,0
Al-Amin Hossain,13,4,3,6,3,6,2.1,46.15,0,0,0,0,0
Enamul Haque jnr,3,2,0,5,3,2.5,1.4,50,0,0,0,0,0
Asif Hasan,5,2,2,4,4,0,1.3,44.44,0,0,0,0,0
Saeed Ajmal,3,1,0,4,4,4,1.0,66.67,0,0,0,1,0
Ajantha Mendis,2,2,1,4,3,4,1.5,36.36,0,0,0,0,0
Nabil Samad,5,2,2,3,3,0,0.4,75,0,0,0,0,0
Chamara Kapugedera,1,1,0,2,2,2,0.4,50,0,0,0,0,0
Suhrawadi Shuvo,1,1,0,2,2,2,0.4,50,0,0,0,0,0
Dhiman Ghosh,3,1,0,2,2,2,1.1,28.57,0,0,0,0,0
Sajidul Islam,2,1,0,1,1,1,1.3,11.11,0,0,0,0,0
Mukhtar Ahmed,1,1,0,1,1,1,0.4,25,0,0,0,0,0
Sohag Gazi,2,1,0,1,1,1,0.4,25,0,0,0,0,0
Shehan Jayasuriya,1,1,0,1,1,1,0.2,50,0,0,0,0,0
Subashis Roy,2,1,1,1,1,0,0.2,50,0,0,0,0,0
Kamrul Islam Rabbi,2,1,0,1,1,1,0.3,33.33,0,0,0,0,0
Mustafizur Rahman,10,1,1,1,1,0,0.2,50,0,0,0,0,0
Irfan Sukkur,1,1,1,1,1,0,0.1,100,0,0,0,0,0
Mushfiqur Rahim,13,13,2,440,86,40,55.1,132.93,0,3,0,33,16
Ryan ten Doeschate,13,13,3,432,95,43.2,48.0,150,0,3,0,28,18
Shamsur Rahman,12,12,2,421,98,42.1,53.4,130.75,0,6,0,36,15
Brad Hodge,11,11,1,410,70,41,50.2,135.76,0,4,0,49,14
Shahriar Nafees,12,12,1,395,102,35.91,55.5,117.91,1,3,0,52,4
Mohammad Ashraful,14,13,1,358,103,29.83,49.0,121.77,1,1,0,39,9
Brendan Taylor,11,11,2,357,69,39.67,47.0,126.6,0,4,1,37,11
Anamul Haque,14,13,0,356,83,27.38,44.3,133.33,0,3,2,29,17
Shakib Al Hasan,12,12,2,329,59,32.9,33.2,164.5,0,2,0,32,13
Paul Stirling,13,13,0,323,66,24.85,33.2,161.5,0,2,1,44,13
Nasir Hossain,12,12,2,314,80,31.4,38.2,136.52,0,2,0,25,14
Naeem Islam,12,12,0,288,72,24,42.1,113.83,0,3,2,33,4
Azhar Mahmood,12,12,2,276,57,27.6,35.5,128.37,0,3,2,23,11
Elton Chigumbura,14,13,7,266,43,44.33,28.4,154.65,0,0,1,14,19
Jahurul Islam,13,13,2,264,57,24,34.5,126.32,0,2,0,16,11
Riki Wessels,11,10,2,248,63,31,36.5,112.22,0,1,0,22,5
Tamim Iqbal,10,9,0,244,66,27.11,33.2,122,0,3,1,21,10
Sabbir Rahman,12,11,1,241,69,24.1,27.4,145.18,0,1,1,24,9
Nazmul Hossain Milon,14,13,4,236,45,26.22,29.0,135.63,0,0,0,16,9
Mahmudullah,14,12,1,233,45,21.18,34.2,113.11,0,0,1,15,11
Charles Coventry,11,11,0,213,62,19.36,25.4,138.31,0,1,2,27,10
Darren Stevens,12,10,4,211,55,35.17,24.4,142.57,0,1,2,15,9
Cameron Borgas,10,10,3,200,48,28.57,28.5,115.61,0,0,0,17,5
Sean Ervine,12,11,3,200,47,25,28.2,117.65,0,0,1,16,9
Owais Shah,7,7,1,194,84,32.33,26.5,120.5,0,1,1,11,8
Jason Roy,7,7,1,182,92,30.33,23.0,131.88,0,1,0,19,7
Imrul Kayes,9,9,0,179,53,19.89,28.4,104.07,0,1,1,16,5
Joshua Cobb,13,12,3,176,34,19.56,21.5,134.35,0,0,0,9,11
Travis Birt,8,7,1,171,94,28.5,21.2,133.59,0,1,1,11,10
Mukhtar Ali,9,8,5,162,41,54,24.5,108.72,0,0,0,12,5
Simon Katich,7,7,1,157,53,26.17,20.0,130.83,0,1,1,22,1
Ziaur Rahman,11,10,2,155,36,19.38,22.3,114.81,0,0,2,14,6
Tillakaratne Dilshan,7,7,1,154,49,25.67,22.3,114.07,0,0,1,16,4
Mominul Haque,13,11,1,152,45,15.2,26.3,95.6,0,0,1,13,2
Dilshan Munaweera,8,8,0,150,35,18.75,22.2,111.94,0,0,0,22,3
Shivnarine Chanderpaul,5,5,0,149,66,29.8,21.0,118.25,0,2,0,19,3
Mohammad Nabi,14,11,2,145,43,16.11,23.4,102.11,0,0,0,16,2
Phil Mustard,12,10,0,142,35,14.2,24.3,96.6,0,0,2,15,0
Lou Vincent,8,7,1,140,89,23.33,18.1,128.44,0,1,1,13,9
Ravi Bopara,10,10,2,137,38,17.13,24.1,94.48,0,0,2,14,1
Daniel Harris,9,8,3,136,48,27.2,23.4,95.77,0,0,1,6,2
Alok Kapali,12,10,3,136,34,19.43,21.5,103.82,0,0,0,12,3
Kevin O'Brien,11,10,3,131,30,18.71,17.3,124.76,0,0,2,9,7
Danza Hyatt,8,8,2,129,25,21.5,21.0,102.38,0,0,0,13,3
Joe Denly,9,9,1,123,31,15.38,20.4,99.19,0,0,0,12,4
Chris Gayle,1,1,0,114,114,114,8.3,223.53,1,0,0,5,12
Dwayne Smith,5,5,0,108,41,21.6,16.0,112.5,0,0,0,16,2
Nurul Hasan,7,6,1,105,43,21,14.4,119.32,0,0,1,15,2
Jehan Mubarak,4,4,1,104,65,34.67,14.5,116.85,0,1,1,9,4
Kabir Ali,7,6,2,100,50,25,10.5,153.85,0,1,0,8,6
Junaid Siddique,6,6,0,98,35,16.33,10.3,155.56,0,0,1,13,4
Ariful Haque,8,5,1,94,33,23.5,11.0,142.42,0,0,0,8,3
Niall O'Brien,7,6,1,91,40,18.2,13.4,110.98,0,0,2,4,2
Hamilton Masakadza,7,7,0,90,52,12.86,13.0,115.38,0,1,2,10,2
Farhad Reza,11,9,2,80,24,11.43,11.2,117.65,0,0,1,5,4
Luke Wright,3,3,0,78,51,26,10.2,125.81,0,1,0,12,1
Elias Sunny,12,7,3,69,30,17.25,8.1,140.82,0,0,1,8,2
Nazimuddin,7,6,0,67,33,11.17,11.0,101.52,0,0,1,6,3
Suhrawadi Shuvo,13,8,5,66,18,22,9.0,122.22,0,0,0,8,0
Mithun Ali,4,4,0,63,60,15.75,9.3,110.53,0,1,2,3,4
Jacob Oram,8,8,3,59,18,11.8,10.3,93.65,0,0,0,6,1
Asif Ahmed,9,6,0,56,29,9.33,8.5,105.66,0,0,2,7,0
Chamara Kapugedera,6,5,0,55,31,11,9.1,100,0,0,0,3,1
Kevon Cooper,11,9,4,54,15,10.8,5.4,158.82,0,0,2,3,4
Farveez Maharoof,3,2,1,49,34,49,8.2,98,0,0,0,1,2
Shafiul Islam,9,4,3,47,25,47,6.5,114.63,0,0,0,3,2
Moeen Ali,5,4,0,46,24,11.5,8.4,88.46,0,0,2,2,3
Dhiman Ghosh,7,3,1,44,36,22,6.2,115.79,0,0,0,1,1
David Miller,3,3,0,41,22,13.67,7.4,89.13,0,0,1,3,1
Mashrafe Mortaza,11,6,1,39,10,7.8,5.4,114.71,0,0,1,3,2
Mehrab Hossain jnr,6,5,2,37,18,12.33,7.3,82.22,0,0,0,2,0
Marshall Ayub,2,2,0,36,32,18,5.4,105.88,0,0,0,5,0
Alfonso Thomas,12,6,2,36,12,9,5.5,102.86,0,0,0,4,0
Mizanur Rahman,5,5,1,34,17,8.5,7.3,75.56,0,0,0,5,0
Sohag Gazi,14,7,2,34,11,6.8,5.0,113.33,0,0,2,4,1
Soumya Sarkar,6,5,2,33,30,11,5.2,103.13,0,0,1,4,1
