Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Nikita Miller,11,11,31,0,181,9,20.11,5.84,0,0,20.67
Ben Laughlin,8,8,24.3,1,161,8,20.13,6.85,0,0,17.63
Jimmy Neesham,11,9,23,0,208,8,26,9.04,0,0,17.25
Daniel Vettori,11,11,40,1,226,8,28.25,5.65,0,0,30
Kevin O'Brien,10,4,8,0,71,7,10.14,8.88,1,0,6.86
Shannon Gabriel,4,4,16,0,104,7,14.86,6.5,0,0,13.71
Sohail Tanvir,9,9,32.4,0,205,7,29.29,6.47,0,0,27.14
Ronsford Beaton,11,11,38,0,350,7,50,9.21,0,0,32.57
Fidel Edwards,6,6,21,0,160,6,26.67,7.62,0,0,21
Tino Best,6,6,21,0,199,6,33.17,9.48,0,0,21
David Bernard,7,7,16,0,98,6,16.33,6.13,0,0,16
Kieron Pollard,10,7,15,0,132,6,22,8.8,0,0,15
Sulieman Benn,10,10,34,0,233,6,38.83,6.85,0,0,34
Ray Jordan,4,4,12,0,116,5,23.2,9.67,0,0,14.4
Jeevan Mendis,9,6,16,0,94,5,18.8,5.88,0,0,19.2
Ashley Nurse,9,7,17.3,0,131,5,26.2,7.94,0,0,19.8
Mervin Matthew,8,8,24,0,218,5,43.6,9.08,0,0,28.8
Veerasammy Permaul,11,10,31,0,232,5,46.4,7.48,0,0,37.2
Mohammad Hafeez,11,11,33,1,185,5,37,5.61,0,0,39.6
Gavin Tonge,2,2,6,1,58,4,14.5,9.67,0,0,9
Navin Stewart,5,4,8,0,73,4,18.25,9.13,0,0,12
Shane Shillingford,7,7,24,0,158,4,39.5,6.58,0,0,36
Brad Hogg,8,7,21.5,0,177,4,44.25,8.5,0,0,31.25
Kyle Mayers,3,2,6,0,48,3,16,8,0,0,12
Darren Sammy,9,8,20,0,180,3,60,9,0,0,40
Justin Athanaze,3,2,5,0,45,2,22.5,9,0,0,15
Rahkeem Cornwall,2,2,6,0,55,2,27.5,9.17,0,0,18
Shoaib Malik,10,4,9,0,72,2,36,8,0,0,27
Marlon Samuels,9,9,26.3,0,184,2,92,7.22,0,0,76.5
Javon Searles,5,3,6,0,64,1,64,10.67,0,0,36
Steven Jacobs,3,3,7,0,69,1,69,9.86,0,0,42
Liam Sebastien,5,4,11,0,85,1,85,7.73,0,0,66
Roelof van der Merwe,6,5,9,0,77,1,77,8.56,0,0,54
Miguel Cummins,5,5,9,0,94,1,94,10.44,0,0,54
Krishmar Santokie,9,9,35.1,0,219,16,13.69,6.23,0,0,13.19
Shakib Al Hasan,8,8,25,2,142,11,12.91,5.68,0,1,13.64
Marlon Samuels,7,7,27,1,136,10,13.6,5.04,0,0,16.2
Ashley Nurse,8,7,22.5,0,137,10,13.7,6.27,1,0,13.1
Rayad Emrit,8,8,24,0,144,10,14.4,6,0,0,14.4
Muttiah Muralitharan,8,8,31,0,180,10,18,5.81,0,0,18.6
Veerasammy Permaul,9,8,29,1,190,10,19,6.55,0,0,17.4
Dwayne Bravo,8,8,28,0,207,10,20.7,7.39,0,0,16.8
Fidel Edwards,6,6,21,0,162,9,18,7.71,0,1,14
Vernon Philander,8,8,29,0,197,9,21.89,6.79,0,0,19.33
Garey Mathurin,7,7,26,0,150,8,18.75,5.77,0,0,19.5
Sheldon Cotterrell,7,7,27,0,174,8,21.75,6.44,1,0,20.25
Chris Gayle,9,9,27.3,0,158,8,19.75,5.96,0,0,19.88
Sunil Narine,9,9,36.4,1,202,8,25.25,5.66,0,0,26.75
Shane Shillingford,7,7,24,0,165,7,23.57,6.88,0,0,20.57
Kevon Cooper,8,7,26.2,0,170,7,24.29,6.46,0,0,22.57
Kemar Roach,7,7,26,0,182,7,26,7,0,0,22.29
Rahkeem Cornwall,6,6,15,0,124,6,20.67,8.27,0,0,15
Tino Best,6,6,21.4,0,155,6,25.83,7.5,0,0,20.67
David Bernard,9,9,27,0,183,6,30.5,6.78,0,0,27
Shannon Gabriel,6,5,9.5,0,81,5,16.2,9.17,0,0,10.6
Samuel Badree,7,6,19,0,119,5,23.8,6.26,0,0,22.8
Christopher Barnwell,9,6,12,0,121,5,24.2,10.08,0,0,14.4
Kieron Pollard,8,7,17.4,1,94,5,18.8,5.64,0,0,20
Jason Holder,7,7,20.1,0,127,5,25.4,6.3,0,0,24.2
Albie Morkel,7,7,18.3,0,147,5,29.4,8.4,0,0,21
Mohammad Hafeez,7,7,26.3,0,170,5,34,6.67,0,0,30.6
Steven Jacobs,3,3,9,1,49,4,12.25,5.44,0,0,13.5
Gavin Tonge,5,5,12,0,89,4,22.25,7.42,0,0,18
Sulieman Benn,7,7,23,0,135,4,33.75,5.87,0,0,34.5
Darren Sammy,7,7,25,0,196,4,49,7.84,0,0,37.5
Andre Russell,9,9,23,0,186,4,46.5,8.09,0,0,34.5
Lasith Malinga,2,2,7,0,46,3,15.33,6.57,0,0,14
Tillakaratne Dilshan,2,2,8,0,46,3,15.33,5.75,0,0,16
Delorn Johnson,3,3,10,0,72,3,24,7.2,0,0,20
Shoaib Malik,8,6,15,3,60,3,20,4,0,0,30
Azhar Mahmood,1,1,4.3,0,37,2,18.5,10.57,0,0,10.5
Kevin O'Brien,8,2,4,0,24,2,12,6,0,0,12
Dwayne Smith,8,3,7,0,57,2,28.5,8.14,0,0,21
Devon Thomas,7,4,8,0,104,2,52,13,0,0,24
